Date,Searchroom visitors,Other visitors,BAFHS researchers,On-site events,Total,site
2017-04-01,21,0,7,18,46,BRISTOL-ARCHIVES
2017-04-02,0,0,0,0,0,BRISTOL-ARCHIVES
2017-04-03,0,0,0,0,0,BRISTOL-ARCHIVES
2017-04-04,22,9,0,0,31,BRISTOL-ARCHIVES
2017-04-05,20,18,8,0,46,BRISTOL-ARCHIVES
2017-04-06,32,0,8,0,40,BRISTOL-ARCHIVES
2017-04-07,19,0,0,0,19,BRISTOL-ARCHIVES
2017-04-08,12,0,3,0,15,BRISTOL-ARCHIVES
2017-04-09,0,0,0,0,0,BRISTOL-ARCHIVES
2017-04-10,0,0,0,0,0,BRISTOL-ARCHIVES
2017-04-11,22,0,0,0,22,BRISTOL-ARCHIVES
2017-04-12,26,0,5,0,31,BRISTOL-ARCHIVES
2017-04-13,26,0,9,0,35,BRISTOL-ARCHIVES
2017-04-14,0,0,0,14,14,BRISTOL-ARCHIVES
2017-04-15,0,0,0,0,0,BRISTOL-ARCHIVES
2017-04-16,0,0,0,0,0,BRISTOL-ARCHIVES
2017-04-17,0,0,0,0,0,BRISTOL-ARCHIVES
2017-04-18,17,4,0,0,21,BRISTOL-ARCHIVES
2017-04-19,22,3,5,0,30,BRISTOL-ARCHIVES
2017-04-20,24,2,9,0,35,BRISTOL-ARCHIVES
2017-04-21,16,3,0,0,19,BRISTOL-ARCHIVES
2017-04-22,0,0,0,0,0,BRISTOL-ARCHIVES
2017-04-23,0,0,0,0,0,BRISTOL-ARCHIVES
2017-04-24,0,0,0,0,0,BRISTOL-ARCHIVES
2017-04-25,18,0,0,0,18,BRISTOL-ARCHIVES
2017-04-26,12,0,8,0,20,BRISTOL-ARCHIVES
2017-04-27,18,0,9,0,27,BRISTOL-ARCHIVES
2017-04-28,18,0,0,0,18,BRISTOL-ARCHIVES
2017-04-29,0,0,0,0,0,BRISTOL-ARCHIVES
31/04/2017,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-01,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-02,6,1,0,0,7,BRISTOL-ARCHIVES
2017-05-03,18,2,0,0,20,BRISTOL-ARCHIVES
2017-05-04,18,0,0,0,18,BRISTOL-ARCHIVES
2017-05-05,9,7,0,15,31,BRISTOL-ARCHIVES
2017-05-06,13,0,0,0,13,BRISTOL-ARCHIVES
2017-05-07,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-08,0,1,0,0,1,BRISTOL-ARCHIVES
2017-05-09,12,2,0,0,14,BRISTOL-ARCHIVES
2017-05-10,11,0,0,0,11,BRISTOL-ARCHIVES
2017-05-11,23,2,0,0,25,BRISTOL-ARCHIVES
2017-05-12,11,2,0,0,13,BRISTOL-ARCHIVES
2017-05-13,13,0,0,0,13,BRISTOL-ARCHIVES
2017-05-14,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-15,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-16,16,0,0,4,20,BRISTOL-ARCHIVES
2017-05-17,16,0,0,5,21,BRISTOL-ARCHIVES
2017-05-18,23,2,0,4,29,BRISTOL-ARCHIVES
2017-05-19,11,0,0,8,19,BRISTOL-ARCHIVES
2017-05-20,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-21,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-22,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-23,22,7,0,0,29,BRISTOL-ARCHIVES
2017-05-24,16,0,0,0,16,BRISTOL-ARCHIVES
2017-05-25,18,3,0,0,21,BRISTOL-ARCHIVES
2017-05-26,7,3,0,0,10,BRISTOL-ARCHIVES
2017-05-27,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-28,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-29,0,0,0,0,0,BRISTOL-ARCHIVES
2017-05-30,9,2,0,0,,BRISTOL-ARCHIVES
2017-05-31,14,4,0,13,31,BRISTOL-ARCHIVES
